#Source                    |Destination                |Total Strands|Capacity|Bid  |Client
#=============================================================================================
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      57;  871;     0
San Francisco, California  ; Denver, Colorado          ;            7;      19;  801;   998
San Francisco, California  ; Salt Lake City, Utah      ;           10;      20;  947;   999
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      37;  761;  1000
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;     100;  742;  1001
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      45;  612;  1002
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      11;  863;  1003
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      95;  937;  1004
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      95;  849;  1005
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      53;  876;  1006
Denver, Colorado           ; Madison, Wisconsin        ;           10;      48;  813;  1007
San Francisco, California  ; Madison, Wisconsin        ;            9;      67;  996;  1008
San Francisco, California  ; Madison, Wisconsin        ;            9;      64;  614;  1009
San Francisco, California  ; Denver, Colorado          ;            9;      66;  767;  1010
Kansas City, Missouri      ; Denver, Colorado          ;           10;       6;  861;  1011
San Francisco, California  ; Madison, Wisconsin        ;            8;      32;  852;  1012
Kansas City, Missouri      ; Denver, Colorado          ;            5;      68;  662;  1013
San Francisco, California  ; Salt Lake City, Utah      ;            6;      20;  773;  1014
San Francisco, California  ; Madison, Wisconsin        ;            4;       8;  968;  1015
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      23;  804;  1016
Denver, Colorado           ; Madison, Wisconsin        ;            6;      68;  974;  1017
Kansas City, Missouri      ; Denver, Colorado          ;            4;      97;  695;  1018
San Francisco, California  ; Madison, Wisconsin        ;            4;      18;  744;  1019
San Francisco, California  ; Madison, Wisconsin        ;            6;      93;  657;  1020
San Francisco, California  ; Salt Lake City, Utah      ;            5;      66;  787;  1021
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      69;  959;  1022
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      84;  928;  1023
Denver, Colorado           ; Madison, Wisconsin        ;            3;      89;  943;  1024
Denver, Colorado           ; Madison, Wisconsin        ;            4;      25;  734;  1025
San Francisco, California  ; Salt Lake City, Utah      ;            8;       9;  635;  1026
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      61;  852;  1027
Denver, Colorado           ; Madison, Wisconsin        ;            4;      96;  888;  1028
San Francisco, California  ; Salt Lake City, Utah      ;            4;      79;  763;  1029
Denver, Colorado           ; Madison, Wisconsin        ;           10;      74;  845;  1030
San Francisco, California  ; Madison, Wisconsin        ;            5;      12;  790;  1031
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      45;  865;  1032
San Francisco, California  ; Salt Lake City, Utah      ;            8;      85;  958;  1033
San Francisco, California  ; Madison, Wisconsin        ;            8;      64;  798;  1034
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      21;  847;  1035
San Francisco, California  ; Madison, Wisconsin        ;            9;      29;  991;  1036
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      28;  635;  1037
San Francisco, California  ; Madison, Wisconsin        ;           10;      56;  615;  1038
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      87;  917;  1039
San Francisco, California  ; Salt Lake City, Utah      ;            4;      15;  869;  1040
Denver, Colorado           ; Madison, Wisconsin        ;            9;       5;  835;  1041
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      28;  733;  1042
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      32;  885;  1043
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      64;  666;  1044
San Francisco, California  ; Denver, Colorado          ;            6;      77;  988;  1045
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      12;  914;  1046
Denver, Colorado           ; Madison, Wisconsin        ;            2;      38;  697;  1047
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      38;  787;  1048
Denver, Colorado           ; Madison, Wisconsin        ;            6;      16;  686;  1049
San Francisco, California  ; Denver, Colorado          ;            8;      41;  629;  1050
Denver, Colorado           ; Madison, Wisconsin        ;            4;      15;  915;  1051
San Francisco, California  ; Salt Lake City, Utah      ;           10;      73;  813;  1052
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      72;  755;  1053
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      95;  718;  1054
Denver, Colorado           ; Madison, Wisconsin        ;            5;      14;  897;  1055
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      13;  835;  1056
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;       8;  769;  1057
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      12;  785;  1058
Denver, Colorado           ; Madison, Wisconsin        ;            4;      92;  663;  1059
Denver, Colorado           ; Madison, Wisconsin        ;            9;      90;  910;  1060
San Francisco, California  ; Denver, Colorado          ;            8;      82;  991;  1061
Denver, Colorado           ; Madison, Wisconsin        ;            6;      67;  963;  1062
Denver, Colorado           ; Madison, Wisconsin        ;            5;      14;  911;  1063
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      24;  914;  1064
San Francisco, California  ; Denver, Colorado          ;            1;      43;  827;  1065
Kansas City, Missouri      ; Denver, Colorado          ;            4;      29;  642;  1066
San Francisco, California  ; Madison, Wisconsin        ;            7;      78;  654;  1067
Denver, Colorado           ; Madison, Wisconsin        ;            7;      41;  804;  1068
San Francisco, California  ; Madison, Wisconsin        ;            6;      17;  855;  1069
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      76;  632;  1070
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      78;  957;  1071
San Francisco, California  ; Madison, Wisconsin        ;            8;      85;  951;  1072
Denver, Colorado           ; Madison, Wisconsin        ;            3;      96;  912;  1073
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      38; 1000;  1074
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      19;  887;  1075
Denver, Colorado           ; Madison, Wisconsin        ;            3;       3;  928;  1076
San Francisco, California  ; Salt Lake City, Utah      ;            7;      20;  669;  1077
San Francisco, California  ; Denver, Colorado          ;            4;      36;  748;  1078
Denver, Colorado           ; Madison, Wisconsin        ;            4;      96;  657;  1079
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      62;  794;  1080
San Francisco, California  ; Madison, Wisconsin        ;            1;       7;  971;  1081
San Francisco, California  ; Madison, Wisconsin        ;           10;      33;  923;  1082
Denver, Colorado           ; Salt Lake City, Utah      ;            9;       9;  812;  1083
San Francisco, California  ; Salt Lake City, Utah      ;            4;      44;  979;  1084
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      20;  853;  1085
San Francisco, California  ; Denver, Colorado          ;            7;      27;  618;  1086
San Francisco, California  ; Denver, Colorado          ;            9;      97;  958;  1087
San Francisco, California  ; Salt Lake City, Utah      ;            1;       9;  867;  1088
Kansas City, Missouri      ; Denver, Colorado          ;           10;      95;  601;  1089
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      13;  838;  1090
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      79;  654;  1091
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      11;  807;  1092
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      40;  906;  1093
San Francisco, California  ; Madison, Wisconsin        ;            5;      67;  975;  1094
Denver, Colorado           ; Madison, Wisconsin        ;            5;      83;  677;  1095
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      69;  746;  1096
Denver, Colorado           ; Madison, Wisconsin        ;            1;      16;  895;  1097
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      74;  859;  1098
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      98;  623;  1099
San Francisco, California  ; Salt Lake City, Utah      ;            7;      60;  978;  1100
San Francisco, California  ; Denver, Colorado          ;            7;      50;  962;  1101
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      64;  644;  1102
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      47;  934;  1103
Denver, Colorado           ; Madison, Wisconsin        ;            1;       5;  998;  1104
Denver, Colorado           ; Madison, Wisconsin        ;            9;      89;  775;  1105
Denver, Colorado           ; Madison, Wisconsin        ;            8;      54;  798;  1106
San Francisco, California  ; Salt Lake City, Utah      ;            8;      46;  813;  1107
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      74;  732;  1108
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      51;  999;  1109
San Francisco, California  ; Denver, Colorado          ;            1;      24;  672;  1110
San Francisco, California  ; Denver, Colorado          ;            3;      76;  892;  1111
Denver, Colorado           ; Madison, Wisconsin        ;            2;      83;  740;  1112
San Francisco, California  ; Madison, Wisconsin        ;            5;      18;  794;  1113
San Francisco, California  ; Denver, Colorado          ;            8;      33;  799;  1114
Kansas City, Missouri      ; Denver, Colorado          ;            6;      75;  789;  1115
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      98;  901;  1116
San Francisco, California  ; Denver, Colorado          ;            1;      30;  625;  1117
San Francisco, California  ; Madison, Wisconsin        ;            5;      74;  870;  1118
San Francisco, California  ; Denver, Colorado          ;            4;      76;  941;  1119
Denver, Colorado           ; Madison, Wisconsin        ;            6;      40;  751;  1120
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      42;  910;  1121
Kansas City, Missouri      ; Denver, Colorado          ;            7;      98;  956;  1122
Denver, Colorado           ; Madison, Wisconsin        ;            3;      70;  925;  1123
Denver, Colorado           ; Madison, Wisconsin        ;            6;      67;  916;  1124
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      41;  670;  1125
Kansas City, Missouri      ; Denver, Colorado          ;            4;       4;  784;  1126
Denver, Colorado           ; Salt Lake City, Utah      ;            7;       6;  868;  1127
Kansas City, Missouri      ; Denver, Colorado          ;            2;      34;  744;  1128
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      59;  750;  1129
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      54;  779;  1130
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      91;  601;  1131
San Francisco, California  ; Denver, Colorado          ;            7;      19;  799;  1132
San Francisco, California  ; Salt Lake City, Utah      ;            4;      12;  763;  1133
San Francisco, California  ; Madison, Wisconsin        ;            7;      32;  619;  1134
San Francisco, California  ; Denver, Colorado          ;           10;       9;  867;  1135
San Francisco, California  ; Denver, Colorado          ;            8;      45;  680;  1136
San Francisco, California  ; Salt Lake City, Utah      ;            7;      42;  888;  1137
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      88;  799;  1138
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      97;  874;  1139
Denver, Colorado           ; Madison, Wisconsin        ;           10;      47;  749;  1140
San Francisco, California  ; Denver, Colorado          ;            4;      52;  908;  1141
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      98;  841;  1142
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      44;  621;  1143
Denver, Colorado           ; Madison, Wisconsin        ;            5;      42;  776;  1144
San Francisco, California  ; Salt Lake City, Utah      ;            1;      70;  718;  1145
San Francisco, California  ; Denver, Colorado          ;            4;      46;  724;  1146
San Francisco, California  ; Denver, Colorado          ;            7;      23;  893;  1147
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;     100;  847;  1148
San Francisco, California  ; Madison, Wisconsin        ;           10;       1;  844;  1149
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      30;  726;  1150
San Francisco, California  ; Denver, Colorado          ;           10;      79;  615;  1151
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      96;  935;  1152
San Francisco, California  ; Salt Lake City, Utah      ;            4;      70;  936;  1153
Denver, Colorado           ; Madison, Wisconsin        ;            3;      64;  682;  1154
Denver, Colorado           ; Madison, Wisconsin        ;           10;     100;  859;  1155
Kansas City, Missouri      ; Denver, Colorado          ;            4;      36;  701;  1156
San Francisco, California  ; Salt Lake City, Utah      ;            9;      48;  752;  1157
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      69;  928;  1158
Denver, Colorado           ; Madison, Wisconsin        ;            2;     100;  613;  1159
San Francisco, California  ; Denver, Colorado          ;            9;      84;  670;  1160
Kansas City, Missouri      ; Denver, Colorado          ;            8;      52;  702;  1161
San Francisco, California  ; Salt Lake City, Utah      ;           10;      34;  726;  1162
Denver, Colorado           ; Madison, Wisconsin        ;            1;      28;  633;  1163
San Francisco, California  ; Madison, Wisconsin        ;            9;      51;  688;  1164
Denver, Colorado           ; Salt Lake City, Utah      ;           10;       2;  685;  1165
San Francisco, California  ; Madison, Wisconsin        ;           10;      77;  670;  1166
Denver, Colorado           ; Madison, Wisconsin        ;            4;      59;  770;  1167
San Francisco, California  ; Denver, Colorado          ;            8;      13;  862;  1168
San Francisco, California  ; Denver, Colorado          ;            4;      78;  695;  1169
Kansas City, Missouri      ; Denver, Colorado          ;            1;      21;  751;  1170
San Francisco, California  ; Salt Lake City, Utah      ;            8;      55;  753;  1171
Kansas City, Missouri      ; Denver, Colorado          ;            7;      60;  625;  1172
Kansas City, Missouri      ; Denver, Colorado          ;            2;       2;  872;  1173
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      41;  919;  1174
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      78;  907;  1175
San Francisco, California  ; Madison, Wisconsin        ;            3;      44;  781;  1176
San Francisco, California  ; Madison, Wisconsin        ;           10;      41;  616;  1177
Denver, Colorado           ; Madison, Wisconsin        ;           10;       1;  798;  1178
Kansas City, Missouri      ; Denver, Colorado          ;            6;       5;  606;  1179
Denver, Colorado           ; Madison, Wisconsin        ;            9;      16;  955;  1180
San Francisco, California  ; Madison, Wisconsin        ;            2;      62;  769;  1181
Denver, Colorado           ; Madison, Wisconsin        ;            4;      16;  752;  1182
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      42;  650;  1183
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      35;  718;  1184
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      23;  667;  1185
San Francisco, California  ; Denver, Colorado          ;            1;      64;  865;  1186
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      37;  834;  1187
Kansas City, Missouri      ; Denver, Colorado          ;            8;      29;  831;  1188
San Francisco, California  ; Denver, Colorado          ;            6;      54;  907;  1189
San Francisco, California  ; Salt Lake City, Utah      ;            3;      16;  911;  1190
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      47;  761;  1191
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      84;  905;  1192
San Francisco, California  ; Salt Lake City, Utah      ;            1;      57;  844;  1193
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      64;  723;  1194
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      92;  644;  1195
Denver, Colorado           ; Madison, Wisconsin        ;            2;      94;  909;  1196
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      23;  656;  1197
Kansas City, Missouri      ; Denver, Colorado          ;            2;      90;  949;  1198
Kansas City, Missouri      ; Denver, Colorado          ;            8;      55;  961;  1199
Denver, Colorado           ; Madison, Wisconsin        ;            7;      98;  816;  1200
San Francisco, California  ; Madison, Wisconsin        ;            4;      77;  685;  1201
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      87;  643;  1202
Kansas City, Missouri      ; Denver, Colorado          ;            4;      15;  875;  1203
Kansas City, Missouri      ; Denver, Colorado          ;           10;      60;  776;  1204
Kansas City, Missouri      ; Denver, Colorado          ;            6;      74;  873;  1205
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      94;  714;  1206
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      87;  701;  1207
San Francisco, California  ; Denver, Colorado          ;            6;      70;  612;  1208
Kansas City, Missouri      ; Denver, Colorado          ;            1;      38;  711;  1209
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      13;  999;  1210
San Francisco, California  ; Madison, Wisconsin        ;            7;      22;  980;  1211
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      77;  614;  1212
San Francisco, California  ; Denver, Colorado          ;            4;      35;  976;  1213
San Francisco, California  ; Madison, Wisconsin        ;            5;      35;  646;  1214
San Francisco, California  ; Denver, Colorado          ;            8;      90;  926;  1215
Denver, Colorado           ; Madison, Wisconsin        ;            6;      95;  641;  1216
San Francisco, California  ; Madison, Wisconsin        ;            7;      61;  734;  1217
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      95;  802;  1218
Kansas City, Missouri      ; Denver, Colorado          ;           10;       6;  618;  1219
Denver, Colorado           ; Madison, Wisconsin        ;            7;      35;  710;  1220
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      19;  666;  1221
Denver, Colorado           ; Madison, Wisconsin        ;            3;      80;  724;  1222
Denver, Colorado           ; Madison, Wisconsin        ;            4;      20;  709;  1223
Kansas City, Missouri      ; Denver, Colorado          ;            5;      61;  687;  1224
San Francisco, California  ; Madison, Wisconsin        ;            5;      72;  687;  1225
San Francisco, California  ; Madison, Wisconsin        ;            6;      56;  915;  1226
Kansas City, Missouri      ; Denver, Colorado          ;            1;      12;  705;  1227
San Francisco, California  ; Madison, Wisconsin        ;            5;      84;  615;  1228
Kansas City, Missouri      ; Denver, Colorado          ;            8;      23;  882;  1229
San Francisco, California  ; Madison, Wisconsin        ;            6;      72;  748;  1230
San Francisco, California  ; Salt Lake City, Utah      ;            8;      61;  880;  1231
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      11;  882;  1232
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      37;  790;  1233
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      81;  738;  1234
Denver, Colorado           ; Madison, Wisconsin        ;            3;      34;  712;  1235
Denver, Colorado           ; Madison, Wisconsin        ;            4;      48;  881;  1236
Kansas City, Missouri      ; Denver, Colorado          ;            7;      40;  708;  1237
San Francisco, California  ; Salt Lake City, Utah      ;            1;      70;  999;  1238
San Francisco, California  ; Salt Lake City, Utah      ;            2;      44;  992;  1239
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      51;  787;  1240
Denver, Colorado           ; Madison, Wisconsin        ;            6;      33;  748;  1241
San Francisco, California  ; Madison, Wisconsin        ;            3;      78;  962;  1242
Kansas City, Missouri      ; Denver, Colorado          ;            7;       5;  917;  1243
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      56;  971;  1244
Denver, Colorado           ; Madison, Wisconsin        ;            8;      59;  742;  1245
Denver, Colorado           ; Madison, Wisconsin        ;            9;      43;  734;  1246
San Francisco, California  ; Madison, Wisconsin        ;            7;       6;  630;  1247
San Francisco, California  ; Salt Lake City, Utah      ;            9;      66;  660;  1248
Denver, Colorado           ; Madison, Wisconsin        ;           10;      23;  766;  1249
San Francisco, California  ; Madison, Wisconsin        ;            1;      93;  904;  1250
Kansas City, Missouri      ; Denver, Colorado          ;            3;      71;  834;  1251
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      49;  841;  1252
San Francisco, California  ; Denver, Colorado          ;           10;      98;  607;  1253
Kansas City, Missouri      ; Denver, Colorado          ;            8;      17;  855;  1254
San Francisco, California  ; Salt Lake City, Utah      ;            7;      44;  663;  1255
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      11;  685;  1256
San Francisco, California  ; Madison, Wisconsin        ;            6;      66;  874;  1257
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      37;  901;  1258
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      75;  946;  1259
San Francisco, California  ; Denver, Colorado          ;            2;      84;  841;  1260
San Francisco, California  ; Madison, Wisconsin        ;            1;      38;  788;  1261
Denver, Colorado           ; Madison, Wisconsin        ;           10;      28;  757;  1262
Denver, Colorado           ; Madison, Wisconsin        ;            4;      97;  631;  1263
Denver, Colorado           ; Madison, Wisconsin        ;            7;      50;  625;  1264
San Francisco, California  ; Salt Lake City, Utah      ;            8;      27;  947;  1265
San Francisco, California  ; Denver, Colorado          ;            2;      55;  728;  1266
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      29;  959;  1267
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;       7;  664;  1268
San Francisco, California  ; Madison, Wisconsin        ;            9;      48;  708;  1269
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      30;  767;  1270
San Francisco, California  ; Salt Lake City, Utah      ;            6;      57;  956;  1271
Denver, Colorado           ; Madison, Wisconsin        ;            2;      69;  831;  1272
Denver, Colorado           ; Madison, Wisconsin        ;            4;      91;  600;  1273
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      94;  837;  1274
San Francisco, California  ; Salt Lake City, Utah      ;            1;      62;  688;  1275
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      27;  970;  1276
Denver, Colorado           ; Madison, Wisconsin        ;            7;      81;  913;  1277
Kansas City, Missouri      ; Denver, Colorado          ;           10;      31;  729;  1278
San Francisco, California  ; Salt Lake City, Utah      ;            6;      64;  999;  1279
Kansas City, Missouri      ; Denver, Colorado          ;           10;      18;  983;  1280
Kansas City, Missouri      ; Denver, Colorado          ;            4;      32;  745;  1281
Kansas City, Missouri      ; Denver, Colorado          ;           10;       5;  927;  1282
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;       2;  730;  1283
Denver, Colorado           ; Madison, Wisconsin        ;            1;     100;  902;  1284
San Francisco, California  ; Madison, Wisconsin        ;            8;      65;  729;  1285
Denver, Colorado           ; Madison, Wisconsin        ;            6;       2;  749;  1286
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      42;  633;  1287
Denver, Colorado           ; Madison, Wisconsin        ;            9;      98;  719;  1288
Denver, Colorado           ; Madison, Wisconsin        ;            3;      70;  734;  1289
San Francisco, California  ; Salt Lake City, Utah      ;            9;      43;  907;  1290
San Francisco, California  ; Denver, Colorado          ;            7;      44;  807;  1291
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      62;  621;  1292
San Francisco, California  ; Madison, Wisconsin        ;            2;      56;  851;  1293
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      63;  871;  1294
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      45;  895;  1295
San Francisco, California  ; Salt Lake City, Utah      ;            8;      24;  926;  1296
San Francisco, California  ; Madison, Wisconsin        ;            3;      98;  676;  1297
Denver, Colorado           ; Madison, Wisconsin        ;            9;      47;  686;  1298
San Francisco, California  ; Salt Lake City, Utah      ;            7;      54;  996;  1299
Kansas City, Missouri      ; Denver, Colorado          ;            9;      58;  757;  1300
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      81;  733;  1301
San Francisco, California  ; Salt Lake City, Utah      ;            1;      83;  775;  1302
Kansas City, Missouri      ; Denver, Colorado          ;            4;      57;  861;  1303
San Francisco, California  ; Madison, Wisconsin        ;            6;      19;  692;  1304
San Francisco, California  ; Denver, Colorado          ;            6;      28;  923;  1305
Denver, Colorado           ; Madison, Wisconsin        ;            2;      27;  610;  1306
Kansas City, Missouri      ; Denver, Colorado          ;            6;      27;  640;  1307
Denver, Colorado           ; Madison, Wisconsin        ;            7;      81;  770;  1308
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      52;  667;  1309
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      45;  665;  1310
Denver, Colorado           ; Madison, Wisconsin        ;           10;      37;  746;  1311
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      93;  822;  1312
Denver, Colorado           ; Madison, Wisconsin        ;            3;      55;  947;  1313
San Francisco, California  ; Salt Lake City, Utah      ;            8;      43;  955;  1314
Denver, Colorado           ; Madison, Wisconsin        ;            1;      87; 1000;  1315
Denver, Colorado           ; Madison, Wisconsin        ;            3;      31;  906;  1316
San Francisco, California  ; Salt Lake City, Utah      ;            3;      77;  613;  1317
Denver, Colorado           ; Madison, Wisconsin        ;            9;      52;  640;  1318
Denver, Colorado           ; Madison, Wisconsin        ;            3;      82;  643;  1319
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      41;  733;  1320
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      22;  610;  1321
San Francisco, California  ; Denver, Colorado          ;            1;      56;  698;  1322
San Francisco, California  ; Madison, Wisconsin        ;            9;      19;  904;  1323
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      33;  644;  1324
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;       7;  615;  1325
San Francisco, California  ; Salt Lake City, Utah      ;            4;      74;  605;  1326
Denver, Colorado           ; Madison, Wisconsin        ;            5;      52;  638;  1327
Kansas City, Missouri      ; Denver, Colorado          ;            4;      42;  967;  1328
San Francisco, California  ; Salt Lake City, Utah      ;            3;      52;  769;  1329
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      24;  636;  1330
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      65;  748;  1331
Denver, Colorado           ; Madison, Wisconsin        ;            5;      68;  969;  1332
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      30;  930;  1333
Kansas City, Missouri      ; Denver, Colorado          ;            3;      65;  783;  1334
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      35;  693;  1335
Denver, Colorado           ; Madison, Wisconsin        ;            8;      25;  653;  1336
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;       5;  833;  1337
Kansas City, Missouri      ; Denver, Colorado          ;            9;      46;  887;  1338
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;       5;  683;  1339
San Francisco, California  ; Denver, Colorado          ;            4;      66;  644;  1340
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      85;  821;  1341
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      95;  868;  1342
San Francisco, California  ; Madison, Wisconsin        ;            8;      85;  627;  1343
Denver, Colorado           ; Madison, Wisconsin        ;            5;      71;  612;  1344
Denver, Colorado           ; Madison, Wisconsin        ;            1;      35;  951;  1345
San Francisco, California  ; Salt Lake City, Utah      ;            8;      54;  785;  1346
San Francisco, California  ; Denver, Colorado          ;            1;      78;  647;  1347
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      42;  824;  1348
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;       8;  613;  1349
San Francisco, California  ; Denver, Colorado          ;            2;      19; 1000;  1350
Denver, Colorado           ; Madison, Wisconsin        ;            9;      81;  680;  1351
San Francisco, California  ; Denver, Colorado          ;           10;      74;  873;  1352
Kansas City, Missouri      ; Denver, Colorado          ;            6;      20;  994;  1353
San Francisco, California  ; Salt Lake City, Utah      ;            7;      33;  766;  1354
San Francisco, California  ; Salt Lake City, Utah      ;            4;      50;  934;  1355
Denver, Colorado           ; Madison, Wisconsin        ;            9;      35;  677;  1356
San Francisco, California  ; Denver, Colorado          ;            8;      87;  622;  1357
San Francisco, California  ; Denver, Colorado          ;            5;      31;  650;  1358
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      47;  894;  1359
San Francisco, California  ; Salt Lake City, Utah      ;            3;      48;  883;  1360
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      59;  712;  1361
San Francisco, California  ; Salt Lake City, Utah      ;           10;      31;  853;  1362
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      73;  773;  1363
San Francisco, California  ; Salt Lake City, Utah      ;           10;      79;  820;  1364
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      19;  934;  1365
San Francisco, California  ; Madison, Wisconsin        ;            2;      23;  629;  1366
Denver, Colorado           ; Madison, Wisconsin        ;            4;      18;  903;  1367
San Francisco, California  ; Salt Lake City, Utah      ;            6;      52;  611;  1368
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      99;  742;  1369
San Francisco, California  ; Denver, Colorado          ;            3;      60;  753;  1370
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      43;  668;  1371
