#Source                    |Destination                |Total Strands|Capacity|Bid  |Client
#=============================================================================================
San Francisco, California  ; Denver, Colorado          ;            5;       7;  639;     0
San Francisco, California  ; Madison, Wisconsin        ;            1;       9;  630;   756
Kansas City, Missouri      ; Denver, Colorado          ;            1;      17;  806;   757
Denver, Colorado           ; Kansas City, Missouri     ;            3;      62;  938;   758
San Francisco, California  ; Denver, Colorado          ;            1;      28;  715;   759
Salt Lake City, Utah       ; Kansas City, Missouri     ;           10;      57;  826;   760
Salt Lake City, Utah       ; Denver, Colorado          ;           10;      14;  837;   761
Salt Lake City, Utah       ; Madison, Wisconsin        ;            1;      62;  742;   762
Salt Lake City, Utah       ; Denver, Colorado          ;            6;      52;  775;   763
Denver, Colorado           ; Kansas City, Missouri     ;            4;      24;  662;   764
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;      68;  668;   765
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      87;  729;   766
San Francisco, California  ; Salt Lake City, Utah      ;            6;      14;  714;   767
San Francisco, California  ; Madison, Wisconsin        ;           10;       6;  731;   768
Salt Lake City, Utah       ; Madison, Wisconsin        ;            7;      49;  973;   769
Denver, Colorado           ; Madison, Wisconsin        ;            6;      63;  820;   770
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      83;  802;   771
Salt Lake City, Utah       ; Madison, Wisconsin        ;            7;      18;  667;   772
San Francisco, California  ; Salt Lake City, Utah      ;            9;      47;  934;   773
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;       2;  648;   774
San Francisco, California  ; Denver, Colorado          ;            2;      77;  672;   775
Salt Lake City, Utah       ; Madison, Wisconsin        ;            8;      65;  709;   776
Salt Lake City, Utah       ; Denver, Colorado          ;            9;     100;  723;   777
San Francisco, California  ; Kansas City, Missouri     ;            1;      64;  836;   778
Denver, Colorado           ; Madison, Wisconsin        ;            5;     100;  748;   779
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      89;  709;   780
San Francisco, California  ; Denver, Colorado          ;            5;      20;  878;   781
Denver, Colorado           ; Kansas City, Missouri     ;            7;      92;  930;   782
San Francisco, California  ; Madison, Wisconsin        ;            2;      31;  874;   783
Denver, Colorado           ; Kansas City, Missouri     ;            1;      36;  890;   784
Salt Lake City, Utah       ; Kansas City, Missouri     ;            2;      85;  604;   785
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      32;  786;   786
San Francisco, California  ; Madison, Wisconsin        ;            5;      20;  762;   787
San Francisco, California  ; Kansas City, Missouri     ;            7;      72;  907;   788
San Francisco, California  ; Madison, Wisconsin        ;            5;      27;  607;   789
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      89;  945;   790
Denver, Colorado           ; Madison, Wisconsin        ;            3;      44;  997;   791
Kansas City, Missouri      ; Denver, Colorado          ;            2;      39;  942;   792
Salt Lake City, Utah       ; Kansas City, Missouri     ;            5;      21;  639;   793
Salt Lake City, Utah       ; Madison, Wisconsin        ;            5;      25;  902;   794
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      25;  882;   795
Denver, Colorado           ; Madison, Wisconsin        ;            8;      56;  782;   796
Salt Lake City, Utah       ; Denver, Colorado          ;            4;      96;  777;   797
Denver, Colorado           ; Madison, Wisconsin        ;           10;      46;  972;   798
San Francisco, California  ; Madison, Wisconsin        ;            2;      37;  661;   799
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      88;  784;   800
Salt Lake City, Utah       ; Denver, Colorado          ;            1;      33;  739;   801
San Francisco, California  ; Kansas City, Missouri     ;            3;      36;  933;   802
Salt Lake City, Utah       ; Madison, Wisconsin        ;            8;      58;  990;   803
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;       1;  987;   804
Salt Lake City, Utah       ; Madison, Wisconsin        ;            2;      55;  837;   805
San Francisco, California  ; Denver, Colorado          ;            4;      11;  896;   806
Salt Lake City, Utah       ; Kansas City, Missouri     ;            3;      34;  877;   807
Salt Lake City, Utah       ; Kansas City, Missouri     ;            6;      82;  910;   808
San Francisco, California  ; Denver, Colorado          ;            4;      97;  783;   809
Salt Lake City, Utah       ; Madison, Wisconsin        ;            6;      42;  993;   810
Salt Lake City, Utah       ; Denver, Colorado          ;            3;      27;  855;   811
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      45;  662;   812
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      77;  975;   813
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      35;  892;   814
San Francisco, California  ; Denver, Colorado          ;            9;      32;  810;   815
Kansas City, Missouri      ; Denver, Colorado          ;            1;      82;  697;   816
San Francisco, California  ; Kansas City, Missouri     ;           10;       2;  911;   817
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      54;  937;   818
San Francisco, California  ; Madison, Wisconsin        ;            4;       1;  805;   819
Denver, Colorado           ; Madison, Wisconsin        ;            7;      74;  943;   820
Salt Lake City, Utah       ; Madison, Wisconsin        ;            7;      78;  649;   821
Salt Lake City, Utah       ; Madison, Wisconsin        ;            8;      49;  935;   822
Denver, Colorado           ; Madison, Wisconsin        ;            5;       3;  864;   823
Denver, Colorado           ; Madison, Wisconsin        ;            1;      56;  613;   824
San Francisco, California  ; Salt Lake City, Utah      ;            4;      57;  966;   825
Denver, Colorado           ; Madison, Wisconsin        ;            7;      86;  776;   826
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      52;  959;   827
Salt Lake City, Utah       ; Madison, Wisconsin        ;            5;      92;  897;   828
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      56;  918;   829
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      28;  895;   830
Salt Lake City, Utah       ; Kansas City, Missouri     ;            8;      61;  959;   831
Denver, Colorado           ; Kansas City, Missouri     ;            5;      79;  873;   832
San Francisco, California  ; Kansas City, Missouri     ;            2;      39;  670;   833
Kansas City, Missouri      ; Denver, Colorado          ;            4;      14;  922;   834
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      73;  913;   835
Denver, Colorado           ; Madison, Wisconsin        ;            3;      42;  870;   836
Salt Lake City, Utah       ; Denver, Colorado          ;            5;      13;  955;   837
San Francisco, California  ; Kansas City, Missouri     ;            9;      19;  724;   838
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      80;  719;   839
San Francisco, California  ; Kansas City, Missouri     ;            8;     100;  950;   840
Salt Lake City, Utah       ; Kansas City, Missouri     ;            5;      87;  721;   841
San Francisco, California  ; Denver, Colorado          ;            9;      74;  945;   842
Denver, Colorado           ; Kansas City, Missouri     ;            2;      70;  637;   843
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      34;  772;   844
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      33;  694;   845
Salt Lake City, Utah       ; Madison, Wisconsin        ;            7;      24;  792;   846
Salt Lake City, Utah       ; Kansas City, Missouri     ;            5;      25;  902;   847
Salt Lake City, Utah       ; Denver, Colorado          ;            2;      52;  963;   848
Salt Lake City, Utah       ; Denver, Colorado          ;            6;      79;  810;   849
San Francisco, California  ; Denver, Colorado          ;            8;      49;  955;   850
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      29;  893;   851
Denver, Colorado           ; Kansas City, Missouri     ;            2;      99;  796;   852
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      75;  604;   853
Salt Lake City, Utah       ; Kansas City, Missouri     ;            8;      25;  811;   854
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      65;  675;   855
Denver, Colorado           ; Kansas City, Missouri     ;            6;      94;  786;   856
Salt Lake City, Utah       ; Kansas City, Missouri     ;            3;      44;  754;   857
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      97;  711;   858
Kansas City, Missouri      ; Denver, Colorado          ;            6;      56;  991;   859
Denver, Colorado           ; Kansas City, Missouri     ;            1;      83;  992;   860
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      97;  666;   861
Salt Lake City, Utah       ; Madison, Wisconsin        ;            8;      12;  728;   862
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;      19;  892;   863
San Francisco, California  ; Madison, Wisconsin        ;            9;      39;  849;   864
Denver, Colorado           ; Salt Lake City, Utah      ;            2;       5;  630;   865
Salt Lake City, Utah       ; Kansas City, Missouri     ;            8;      17;  752;   866
San Francisco, California  ; Madison, Wisconsin        ;            7;      83;  825;   867
San Francisco, California  ; Madison, Wisconsin        ;           10;       8;  869;   868
Denver, Colorado           ; Madison, Wisconsin        ;            7;      55;  796;   869
San Francisco, California  ; Salt Lake City, Utah      ;           10;      62;  875;   870
San Francisco, California  ; Madison, Wisconsin        ;            2;      90;  690;   871
Salt Lake City, Utah       ; Madison, Wisconsin        ;            1;      97;  636;   872
San Francisco, California  ; Kansas City, Missouri     ;            9;       7;  900;   873
Salt Lake City, Utah       ; Denver, Colorado          ;            1;      65;  957;   874
Salt Lake City, Utah       ; Kansas City, Missouri     ;            4;      54;  805;   875
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      22;  862;   876
Salt Lake City, Utah       ; Kansas City, Missouri     ;            3;      65;  847;   877
Kansas City, Missouri      ; Denver, Colorado          ;            7;      51;  820;   878
Denver, Colorado           ; Salt Lake City, Utah      ;            8;       7;  987;   879
San Francisco, California  ; Salt Lake City, Utah      ;            2;      97;  763;   880
Denver, Colorado           ; Kansas City, Missouri     ;            7;      86;  950;   881
Denver, Colorado           ; Madison, Wisconsin        ;            2;      84;  637;   882
San Francisco, California  ; Madison, Wisconsin        ;            1;      42;  731;   883
San Francisco, California  ; Salt Lake City, Utah      ;            9;      93;  656;   884
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      93;  816;   885
San Francisco, California  ; Denver, Colorado          ;            1;      73;  823;   886
Salt Lake City, Utah       ; Madison, Wisconsin        ;            4;      64;  710;   887
Salt Lake City, Utah       ; Kansas City, Missouri     ;            4;      70;  710;   888
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      51;  605;   889
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      47;  798;   890
San Francisco, California  ; Kansas City, Missouri     ;            5;      82;  920;   891
San Francisco, California  ; Kansas City, Missouri     ;            3;      13;  631;   892
Kansas City, Missouri      ; Denver, Colorado          ;            1;      82;  606;   893
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      80;  689;   894
Denver, Colorado           ; Madison, Wisconsin        ;            7;      32;  626;   895
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      90;  830;   896
Salt Lake City, Utah       ; Madison, Wisconsin        ;            8;      17;  925;   897
Denver, Colorado           ; Madison, Wisconsin        ;            8;     100;  667;   898
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      46;  771;   899
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      23;  851;   900
San Francisco, California  ; Kansas City, Missouri     ;            7;      96;  659;   901
Salt Lake City, Utah       ; Kansas City, Missouri     ;            6;     100;  917;   902
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;       9;  888;   903
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      36;  995;   904
Salt Lake City, Utah       ; Kansas City, Missouri     ;           10;      44;  870;   905
Salt Lake City, Utah       ; Kansas City, Missouri     ;            1;      91;  791;   906
Denver, Colorado           ; Kansas City, Missouri     ;            8;      14;  735;   907
San Francisco, California  ; Denver, Colorado          ;            7;      69;  760;   908
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      83;  670;   909
Salt Lake City, Utah       ; Denver, Colorado          ;            4;      37;  683;   910
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      29;  824;   911
Salt Lake City, Utah       ; Denver, Colorado          ;            2;      28;  652;   912
Salt Lake City, Utah       ; Madison, Wisconsin        ;            9;      43;  897;   913
San Francisco, California  ; Madison, Wisconsin        ;            9;      17;  640;   914
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      73;  606;   915
Salt Lake City, Utah       ; Madison, Wisconsin        ;            9;      69;  811;   916
Denver, Colorado           ; Kansas City, Missouri     ;            8;      83;  714;   917
Denver, Colorado           ; Madison, Wisconsin        ;            6;      94;  923;   918
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      87;  911;   919
Kansas City, Missouri      ; Denver, Colorado          ;            4;      77;  616;   920
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      80;  741;   921
Denver, Colorado           ; Kansas City, Missouri     ;           10;      63;  968;   922
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      97;  871;   923
San Francisco, California  ; Salt Lake City, Utah      ;            1;      63;  983;   924
San Francisco, California  ; Madison, Wisconsin        ;            5;      65;  942;   925
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      74;  697;   926
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      13;  624;   927
Denver, Colorado           ; Madison, Wisconsin        ;            5;      80;  686;   928
Denver, Colorado           ; Kansas City, Missouri     ;            5;       2;  622;   929
Denver, Colorado           ; Kansas City, Missouri     ;            4;      98;  923;   930
Denver, Colorado           ; Kansas City, Missouri     ;            3;       8;  768;   931
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      52;  763;   932
Salt Lake City, Utah       ; Denver, Colorado          ;            2;      10;  650;   933
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      87;  760;   934
San Francisco, California  ; Madison, Wisconsin        ;            8;      12;  941;   935
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      42;  884;   936
San Francisco, California  ; Salt Lake City, Utah      ;            5;      89;  651;   937
San Francisco, California  ; Kansas City, Missouri     ;            8;      99;  766;   938
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      10;  702;   939
San Francisco, California  ; Salt Lake City, Utah      ;            8;      94;  761;   940
San Francisco, California  ; Kansas City, Missouri     ;            6;      12;  712;   941
San Francisco, California  ; Madison, Wisconsin        ;           10;      28;  966;   942
Denver, Colorado           ; Madison, Wisconsin        ;            8;      28;  972;   943
San Francisco, California  ; Madison, Wisconsin        ;            7;      31;  979;   944
Kansas City, Missouri      ; Denver, Colorado          ;            2;      54;  812;   945
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      30;  892;   946
Salt Lake City, Utah       ; Kansas City, Missouri     ;            8;      90;  632;   947
Salt Lake City, Utah       ; Denver, Colorado          ;            3;       2;  851;   948
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      20;  748;   949
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;      29;  723;   950
Kansas City, Missouri      ; Denver, Colorado          ;            5;      77;  689;   951
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      87;  808;   952
Salt Lake City, Utah       ; Kansas City, Missouri     ;            4;      96;  936;   953
Salt Lake City, Utah       ; Denver, Colorado          ;           10;      14;  641;   954
Salt Lake City, Utah       ; Denver, Colorado          ;            2;      75;  795;   955
San Francisco, California  ; Denver, Colorado          ;            3;      52;  941;   956
Salt Lake City, Utah       ; Denver, Colorado          ;           10;      72;  915;   957
Denver, Colorado           ; Salt Lake City, Utah      ;           10;       3;  777;   958
Salt Lake City, Utah       ; Denver, Colorado          ;            5;      63;  992;   959
San Francisco, California  ; Salt Lake City, Utah      ;            6;      35;  896;   960
Salt Lake City, Utah       ; Denver, Colorado          ;            8;      25;  857;   961
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      31;  959;   962
Salt Lake City, Utah       ; Madison, Wisconsin        ;            2;      92;  885;   963
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      67;  666;   964
Kansas City, Missouri      ; Denver, Colorado          ;            2;      62;  625;   965
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      54;  674;   966
Salt Lake City, Utah       ; Madison, Wisconsin        ;            7;      51;  624;   967
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      78;  999;   968
Kansas City, Missouri      ; Denver, Colorado          ;            7;      76;  669;   969
San Francisco, California  ; Kansas City, Missouri     ;            6;       1;  721;   970
Denver, Colorado           ; Madison, Wisconsin        ;            5;      54;  718;   971
Denver, Colorado           ; Kansas City, Missouri     ;            4;      91;  894;   972
Denver, Colorado           ; Madison, Wisconsin        ;            8;      81;  673;   973
San Francisco, California  ; Salt Lake City, Utah      ;            2;      95;  627;   974
Salt Lake City, Utah       ; Madison, Wisconsin        ;            5;      65;  982;   975
Salt Lake City, Utah       ; Kansas City, Missouri     ;            4;      50;  856;   976
Salt Lake City, Utah       ; Kansas City, Missouri     ;            6;      82;  988;   977
Kansas City, Missouri      ; Denver, Colorado          ;            5;      64;  715;   978
Kansas City, Missouri      ; Denver, Colorado          ;            4;      98;  883;   979
Salt Lake City, Utah       ; Denver, Colorado          ;           10;      31;  677;   980
Denver, Colorado           ; Madison, Wisconsin        ;            4;       7;  844;   981
Denver, Colorado           ; Madison, Wisconsin        ;            7;      84;  916;   982
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      17;  978;   983
San Francisco, California  ; Denver, Colorado          ;            4;      10;  630;   984
Salt Lake City, Utah       ; Kansas City, Missouri     ;            6;      30;  886;   985
Salt Lake City, Utah       ; Denver, Colorado          ;            8;      38;  667;   986
Salt Lake City, Utah       ; Madison, Wisconsin        ;            2;      76;  803;   987
Denver, Colorado           ; Kansas City, Missouri     ;           10;      80;  839;   988
San Francisco, California  ; Kansas City, Missouri     ;            8;      73;  912;   989
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      44;  802;   990
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      91;  650;   991
Salt Lake City, Utah       ; Denver, Colorado          ;            1;      82;  974;   992
Kansas City, Missouri      ; Denver, Colorado          ;            5;      99;  660;   993
Kansas City, Missouri      ; Denver, Colorado          ;            8;      18;  766;   994
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      50;  701;   995
San Francisco, California  ; Madison, Wisconsin        ;            7;      97;  651;   996
Salt Lake City, Utah       ; Madison, Wisconsin        ;            6;      68;  801;   997
San Francisco, California  ; Salt Lake City, Utah      ;            2;      68;  811;   998
Salt Lake City, Utah       ; Madison, Wisconsin        ;            5;      36;  780;   999
Kansas City, Missouri      ; Denver, Colorado          ;            3;      67;  658;  1000
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      37;  976;  1001
Denver, Colorado           ; Kansas City, Missouri     ;            2;      14;  870;  1002
San Francisco, California  ; Denver, Colorado          ;            9;      65;  638;  1003
Salt Lake City, Utah       ; Kansas City, Missouri     ;            8;      95;  674;  1004
Salt Lake City, Utah       ; Madison, Wisconsin        ;            6;      11;  837;  1005
Denver, Colorado           ; Salt Lake City, Utah      ;            8;       7;  826;  1006
San Francisco, California  ; Madison, Wisconsin        ;            6;       8;  966;  1007
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      64;  906;  1008
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      52;  989;  1009
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      55;  927;  1010
Salt Lake City, Utah       ; Kansas City, Missouri     ;            6;      60;  933;  1011
Salt Lake City, Utah       ; Denver, Colorado          ;            2;      99;  946;  1012
Denver, Colorado           ; Madison, Wisconsin        ;            2;      29;  734;  1013
San Francisco, California  ; Salt Lake City, Utah      ;            1;      44;  882;  1014
San Francisco, California  ; Salt Lake City, Utah      ;            5;      16;  605;  1015
Salt Lake City, Utah       ; Madison, Wisconsin        ;            2;      62;  863;  1016
San Francisco, California  ; Salt Lake City, Utah      ;            9;      56;  748;  1017
Salt Lake City, Utah       ; Madison, Wisconsin        ;            1;      93;  646;  1018
San Francisco, California  ; Madison, Wisconsin        ;            4;      73;  864;  1019
Kansas City, Missouri      ; Denver, Colorado          ;            6;      32;  795;  1020
San Francisco, California  ; Salt Lake City, Utah      ;            2;      26;  907;  1021
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      35;  810;  1022
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      87;  926;  1023
Salt Lake City, Utah       ; Madison, Wisconsin        ;            6;      76;  651;  1024
Kansas City, Missouri      ; Denver, Colorado          ;            8;      70;  752;  1025
Salt Lake City, Utah       ; Denver, Colorado          ;            1;       1;  640;  1026
San Francisco, California  ; Kansas City, Missouri     ;            6;      27;  908;  1027
San Francisco, California  ; Kansas City, Missouri     ;            8;      31;  873;  1028
Denver, Colorado           ; Madison, Wisconsin        ;            1;       7;  895;  1029
Kansas City, Missouri      ; Denver, Colorado          ;           10;      55;  933;  1030
San Francisco, California  ; Madison, Wisconsin        ;            7;       4;  882;  1031
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      40;  938;  1032
Salt Lake City, Utah       ; Madison, Wisconsin        ;            3;      93;  828;  1033
Kansas City, Missouri      ; Denver, Colorado          ;            6;      98;  824;  1034
San Francisco, California  ; Kansas City, Missouri     ;            4;      79;  837;  1035
Denver, Colorado           ; Kansas City, Missouri     ;            1;      73;  979;  1036
Denver, Colorado           ; Kansas City, Missouri     ;           10;      89;  891;  1037
Kansas City, Missouri      ; Denver, Colorado          ;            2;      66;  925;  1038
San Francisco, California  ; Kansas City, Missouri     ;            4;      11;  875;  1039
Salt Lake City, Utah       ; Denver, Colorado          ;           10;      60;  672;  1040
San Francisco, California  ; Kansas City, Missouri     ;            7;      46;  897;  1041
Denver, Colorado           ; Madison, Wisconsin        ;            3;      28;  693;  1042
Denver, Colorado           ; Kansas City, Missouri     ;            9;      14;  924;  1043
Kansas City, Missouri      ; Denver, Colorado          ;            7;      68;  849;  1044
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;       8;  847;  1045
San Francisco, California  ; Madison, Wisconsin        ;            1;      27;  862;  1046
Salt Lake City, Utah       ; Madison, Wisconsin        ;            3;      93;  905;  1047
Salt Lake City, Utah       ; Kansas City, Missouri     ;            1;      58;  677;  1048
San Francisco, California  ; Madison, Wisconsin        ;            8;      28;  626;  1049
Denver, Colorado           ; Kansas City, Missouri     ;            3;      94;  996;  1050
Salt Lake City, Utah       ; Kansas City, Missouri     ;            8;       3;  898;  1051
Salt Lake City, Utah       ; Denver, Colorado          ;            9;      68;  839;  1052
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      46;  629;  1053
San Francisco, California  ; Madison, Wisconsin        ;            4;      96;  611;  1054
Salt Lake City, Utah       ; Denver, Colorado          ;            8;      70;  763;  1055
Denver, Colorado           ; Kansas City, Missouri     ;            2;      67;  761;  1056
San Francisco, California  ; Salt Lake City, Utah      ;            2;      44;  882;  1057
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      86;  690;  1058
Denver, Colorado           ; Madison, Wisconsin        ;            1;      74;  602;  1059
Kansas City, Missouri      ; Denver, Colorado          ;            5;      57;  741;  1060
Kansas City, Missouri      ; Denver, Colorado          ;           10;      92;  938;  1061
San Francisco, California  ; Madison, Wisconsin        ;            7;      75;  610;  1062
Denver, Colorado           ; Kansas City, Missouri     ;            6;      86;  990;  1063
Salt Lake City, Utah       ; Kansas City, Missouri     ;            3;      78;  830;  1064
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      35;  754;  1065
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      88;  895;  1066
Kansas City, Missouri      ; Denver, Colorado          ;            5;       3;  645;  1067
Salt Lake City, Utah       ; Denver, Colorado          ;            2;      43;  752;  1068
Salt Lake City, Utah       ; Denver, Colorado          ;            8;      44;  990;  1069
Denver, Colorado           ; Kansas City, Missouri     ;            7;       2;  702;  1070
San Francisco, California  ; Kansas City, Missouri     ;            1;      67;  960;  1071
San Francisco, California  ; Denver, Colorado          ;            6;      78;  836;  1072
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      89;  853;  1073
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      68;  744;  1074
Salt Lake City, Utah       ; Denver, Colorado          ;            3;      91;  724;  1075
San Francisco, California  ; Kansas City, Missouri     ;            1;      23;  928;  1076
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      95;  945;  1077
Denver, Colorado           ; Madison, Wisconsin        ;            1;      34;  997;  1078
San Francisco, California  ; Salt Lake City, Utah      ;            4;       9;  884;  1079
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      37;  922;  1080
Salt Lake City, Utah       ; Kansas City, Missouri     ;            6;       7;  922;  1081
San Francisco, California  ; Salt Lake City, Utah      ;            6;      31;  886;  1082
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;      81;  818;  1083
San Francisco, California  ; Kansas City, Missouri     ;            4;     100;  634;  1084
Salt Lake City, Utah       ; Denver, Colorado          ;            3;      51;  783;  1085
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      75;  850;  1086
San Francisco, California  ; Denver, Colorado          ;           10;      52;  709;  1087
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      14;  708;  1088
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      21;  921;  1089
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      41;  724;  1090
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;     100;  663;  1091
San Francisco, California  ; Kansas City, Missouri     ;            4;      90;  935;  1092
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      31;  934;  1093
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      28;  932;  1094
San Francisco, California  ; Madison, Wisconsin        ;            4;      98;  606;  1095
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      31;  797;  1096
Salt Lake City, Utah       ; Denver, Colorado          ;            1;      18;  971;  1097
Denver, Colorado           ; Kansas City, Missouri     ;            5;      14;  624;  1098
San Francisco, California  ; Kansas City, Missouri     ;            9;      74;  895;  1099
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      23;  746;  1100
Salt Lake City, Utah       ; Kansas City, Missouri     ;            5;       1;  600;  1101
San Francisco, California  ; Kansas City, Missouri     ;            7;      28;  918;  1102
San Francisco, California  ; Denver, Colorado          ;            8;      22;  656;  1103
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      76;  693;  1104
San Francisco, California  ; Kansas City, Missouri     ;            3;      39;  705;  1105
Salt Lake City, Utah       ; Denver, Colorado          ;            5;       7;  621;  1106
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      50;  889;  1107
Kansas City, Missouri      ; Denver, Colorado          ;            3;      46;  735;  1108
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      17;  663;  1109
Denver, Colorado           ; Kansas City, Missouri     ;            4;      55;  856;  1110
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      18;  775;  1111
Denver, Colorado           ; Kansas City, Missouri     ;            3;      69;  800;  1112
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      98;  713;  1113
San Francisco, California  ; Kansas City, Missouri     ;            3;      68;  680;  1114
Denver, Colorado           ; Kansas City, Missouri     ;            9;      85;  746;  1115
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      27;  806;  1116
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      27;  808;  1117
San Francisco, California  ; Salt Lake City, Utah      ;            8;      96;  637;  1118
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      96;  652;  1119
Kansas City, Missouri      ; Denver, Colorado          ;            9;      61;  683;  1120
Salt Lake City, Utah       ; Madison, Wisconsin        ;            3;      73;  774;  1121
San Francisco, California  ; Salt Lake City, Utah      ;            7;      17;  802;  1122
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      38;  749;  1123
Salt Lake City, Utah       ; Kansas City, Missouri     ;            1;      12;  697;  1124
San Francisco, California  ; Madison, Wisconsin        ;            1;      53;  630;  1125
Denver, Colorado           ; Madison, Wisconsin        ;            5;      61;  873;  1126
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      54;  930;  1127
San Francisco, California  ; Denver, Colorado          ;            4;      11;  904;  1128
Salt Lake City, Utah       ; Madison, Wisconsin        ;            2;       6;  611;  1129
